PlayerPos,ObstacleXPos,CoinXPos
583.2,191,590
279.6,542,280
279.6,542,280
252,542,252
209.4,549,209
208.8,549,209
264.6,452,264
264,452,264
294,452,294
367.8,459,595
594.6,459,595
493.8,536,485
484.8,536,485
591.6,536,592
591,511,379
379.2,511,379
395.4,538,395
395.4,538,395
472.8,398,473
473.4,398,473
588,398,588
505.2,587,244
244.2,587,244
442.8,559,443
443.4,559,443
370.8,559,371
373.2,420,432
447.6,420,432
181.8,232,183
182.4,200,497
496.8,200,489
488.4,548,489
489,548,489
279.6,548,280
368.4,534,596
595.8,534,596
581.4,441,254
348,441,493
395.4,368,493
493.2,368,589
589.2,368,589
532.8,535,533
491.4,535,357
357,198,357
357.6,198,357
433.2,295,433
432.6,295,433
216,295,216
215.4,591,215
215.4,591,215
354.6,513,354
354,513,354
553.2,513,538
600,504,600
599.4,504,600
542.4,287,315
315,287,556
556.2,368,556
555.6,368,556
214.8,368,215
324.6,367,448
448.2,367,448
402.6,192,332
331.8,192,332
226.8,192,205
258.6,621,270
270,621,270
355.8,429,356
355.8,429,356
549,383,549
549,383,549
565.2,383,565
463.2,613,463
462.6,613,463
398.4,524,399
399,524,399
553.8,524,528
554.4,552,554
580.8,552,554
580.8,469,500
500.4,469,500
591,336,591
403.2,587,403
402.6,587,403
537.6,272,575
575.4,272,575
319.8,272,308
320.4,486,185
184.8,486,185
438.6,427,550
530.4,427,550
345,427,345
381,531,415
415.2,531,415
486,240,490
490.2,240,490
459.6,240,460
409.8,243,240
200.4,243,289
200.4,613,289
289.2,613,289
557.4,474,558
558,474,558
528.6,474,529
515.4,479,324
324.6,479,324
345.6,557,345
345,557,345
518.4,522,555
550.8,522,327
327.6,522,327
468.6,501,564
564,501,564
538.2,445,209
371.4,445,485
485.4,445,485
484.2,456,282
282.6,456,282
322.2,485,322
322.2,485,322
240.6,577,240
240,577,240
276,577,276
300.6,487,301
301.2,487,301
190.8,247,191
191.4,247,191
326.4,247,326
313.2,550,221
220.8,550,221
387.6,533,426
425.4,533,426
504,227,593
573.6,227,593
391.8,227,392
311.4,250,238
223.2,250,238
354,404,208
218.4,349,208
208.2,349,208
201.6,518,201
201.6,518,201
469.8,518,574
470.4,461,574
574.2,461,574
508.2,377,176
201.6,377,383
330.6,185,383
383.4,185,383
599.4,185,599
548.4,463,549
549,463,549
579,364,579
579,364,579
429,364,429
406.8,224,220
181.8,224,400
181.8,496,400
399.6,496,400
455.4,516,517
516.6,516,517
603,516,603
555.6,408,319
319.2,408,319
369.6,349,509
508.8,349,509
430.8,349,431
420.6,465,321
321.6,465,321
427.8,610,431
430.8,610,431
183,575,183
183,575,183
540,575,361
499.8,413,361
360.6,413,361
378.6,340,428
428.4,340,428
376.2,289,376
375.6,289,376
591,289,591
589.2,248,589
589.2,248,589
339.6,297,339
339.6,297,339
195.6,297,196
194.4,275,194
193.8,275,194
246,355,253
252.6,355,253
209.4,515,209
208.8,515,209
378,515,378
265.8,455,202
202.2,455,202
312.6,504,313
312.6,504,313
293.4,504,293
321,513,375
375,513,375
234.6,545,235
235.2,545,235
280.2,362,280
279.6,362,280
426,362,426
383.4,576,295
295.2,576,295
496.2,424,496
496.2,424,496
532.8,592,533
533.4,592,533
235.8,592,236
361.8,412,543
542.4,412,543
442.2,233,442
441.6,233,442
581.4,233,581
546,268,496
495.6,268,496
398.4,507,399
398.4,507,399
303,275,303
303.6,275,303
322.8,275,323
393,392,540
539.4,392,540
540.6,292,541
540.6,292,541
374.4,474,374
373.8,474,374
485.4,474,480
531,275,531
530.4,275,531
502.2,413,502
502.2,413,502
288.6,413,288
292.2,441,560
559.8,441,560
449.4,205,327
327,205,327
532.2,322,532
531.6,322,532
622.2,322,622
598.2,299,237
303.6,299,409
387,345,409
409.2,345,409
436.2,562,436
364.8,515,365
365.4,515,365
261.6,218,262
262.2,218,262
472.8,218,473
466.8,501,467
467.4,501,467
283.8,601,284
284.4,601,284
270.6,601,271
186.6,427,187
186.6,427,187
381.6,190,488
487.8,190,488
536.4,190,537
481.8,317,341
360,317,341
430.8,199,431
431.4,199,431
395.4,580,396
396,580,396
382.2,580,382
539.4,523,557
556.8,523,557
618,188,618
617.4,188,618
448.2,188,448
342,428,180
180,428,180
389.4,320,615
591,320,537
537,490,537
536.4,490,537
612,490,612
562.2,513,562
561.6,513,562
547.8,552,364
381,552,317
317.4,406,317
317.4,406,317
180.6,406,181
337.8,357,455
454.8,357,455
568.8,366,569
568.8,366,569
456.6,366,457
514.8,363,515
514.8,363,515
506.4,499,507
506.4,499,507
302.4,363,302
302.4,363,302
270.6,363,270
380.4,430,406
210.6,388,210
210,388,210
