PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
280.8,504,450,281,549,0
281.4,504,550,281,674,0
280.8,504,589.2,281,723,0
198.6,504,850.8,198,276,1
198.6,485,306.8,198,723,0
306,485,450,515,129,0
381,485,550,515,254,0
437.4,485,850.8,515,629,1
496.8,188,29.2,515,729,0
620.4,188,450,620,476,0
619.8,188,550,620,601,0
619.8,188,647.6,620,723,1
492.6,188,850.8,493,203,1
493.2,269,365.2,493,723,0
512.4,269,450,512,56,0
511.8,269,550,512,181,0
511.8,269,850.8,512,556,1
511.8,572,82.8,512,723,0
488.4,572,450,488,409,0
487.8,572,550,488,534,0
488.4,572,701.2,488,723,1
389.4,572,850.8,390,136,1
373.2,414,422.8,390,728,0
352.8,414,450,271,-16,0
277.8,414,550,271,109,0
270.6,414,850.8,271,484,1
270.6,447,140.4,271,723,0
502.8,447,450,564,337,0
563.4,447,550,564,462,0
564,447,758.8,564,723,1
495,447,850.8,485,64,1
484.8,363,450,485,690,0
485.4,363,476.4,485,723,0
528.6,363,550,529,42,0
528.6,363,850.8,529,417,1
529.2,283,194,529,723,0
537.6,283,450,538,270,0
538.2,283,550,538,395,0
538.2,283,812.4,538,723,1
509.4,283,850.8,235,-3,1
235.2,504,450,235,623,0
235.2,504,530,235,723,0
250.2,504,550,356,-25,0
355.8,504,850.8,356,350,1
355.8,299,247.6,356,723,0
226.8,299,450,227,203,0
227.4,299,550,227,328,0
227.4,299,850.8,227,703,1
226.8,593,-34.8,227,723,0
470.4,593,450,471,556,0
471,593,550,471,681,0
471,593,583.6,471,723,0
270.6,593,850.8,233,283,1
232.8,380,301.2,233,723,0
253.2,380,450,253,136,0
252.6,380,550,253,261,0
252.6,380,850.8,253,636,1
252.6,466,18.8,253,723,0
544.8,466,450,545,489,0
545.4,466,550,545,614,0
544.8,466,637.2,545,723,1
511.8,466,850.8,211,216,1
210.6,517,354.8,211,723,0
243.6,517,450,244,69,0
244.2,517,550,244,194,0
244.2,517,850.8,244,569,1
243.6,580,72.4,244,723,0
235.2,580,450,235,422,0
234.6,580,550,235,547,0
234.6,580,690.8,235,723,1
354.6,580,850.8,609,149,1
608.4,303,408.4,609,723,0
577.2,303,450,397,2,0
502.2,303,550,397,127,0
396.6,303,850.8,397,502,1
396.6,277,126,397,723,0
321.6,277,450,290,355,0
321,277,550,290,480,0
321,277,846,290,850,1
324.6,277,850.8,367,-45,1
367.2,309,450,367,581,0
366.6,309,550,367,706,0
367.2,309,563.6,367,723,0
353.4,309,850.8,240,308,1
240.6,492,281.2,240,723,0
367.2,492,450,497,161,0
442.2,492,550,497,286,0
448.2,492,850.8,497,661,1
486,608,0.4,497,725,0
256.8,608,450,257,512,0
257.4,608,550,257,637,0
257.4,608,618.8,257,723,1
431.4,608,850.8,453,239,1
452.4,545,336.4,453,723,0
367.2,545,450,339,92,0
339,545,550,339,217,0
339,545,850.8,339,592,1
339,524,54,339,723,0
361.2,524,450,361,445,0
360.6,524,550,361,570,0
361.2,524,672.4,361,723,1
233.4,524,850.8,233,172,1
233.4,415,390,233,723,0
278.4,415,450,477,25,0
353.4,415,550,477,150,0
371.4,415,850.8,477,525,1
476.4,528,107.6,477,723,0
374.4,528,450,374,378,0
373.8,528,550,374,503,0
373.8,528,726,374,723,1
467.4,528,850.8,604,105,1
603.6,554,443.6,604,723,0
598.8,554,450,405,-42,0
598.2,554,550,405,83,0
598.2,554,850.8,405,458,1
430.2,262,174,405,739,0
306,262,450,276,295,0
306.6,262,550,276,420,0
306.6,262,850.8,276,795,1
276.6,290,-6.8,276,850,0
230.4,290,450,230,521,0
229.8,290,550,230,646,0
230.4,290,611.6,230,723,1
246.6,290,850.8,452,248,1
451.8,190,329.2,452,723,0
361.2,190,450,227,101,0
286.2,190,550,227,226,0
234.6,190,850.8,227,601,1
226.8,179,46.8,227,723,0
298.8,179,450,299,454,0
299.4,179,550,299,579,0
299.4,179,665.2,299,723,1
222.6,179,850.8,189,181,1
189.6,505,382.8,189,723,0
240,505,450,271,34,0
270.6,505,550,271,159,0
270.6,505,850.8,271,534,1
270.6,406,100.4,271,723,0
493.2,406,450,493,387,0
492.6,406,550,493,512,0
493.2,406,718.8,493,723,1
587.4,406,850.8,588,114,1
587.4,532,436.4,588,723,0
577.2,532,450,528,-33,0
575.4,532,550,528,92,0
575.4,532,850.8,528,467,1
528,371,154,528,723,0
306,371,450,282,320,0
282.6,371,550,282,445,0
282.6,371,772.4,282,723,1
223.8,371,850.8,206,47,1
206.4,450,450,206,673,0
206.4,450,490,206,723,0
251.4,450,550,468,25,0
407.4,450,850.8,468,400,1
467.4,182,207.6,468,723,0
529.2,182,450,529,253,0
528.6,182,550,529,378,0
529.2,182,826,529,723,1
510.6,182,850.8,438,-20,1
438,614,450,438,606,0
437.4,614,543.6,438,723,0
442.2,614,550,544,-42,0
544.2,614,850.8,544,333,1
543.6,329,261.2,544,723,0
402,329,450,261,186,0
371.4,329,550,261,311,0
371.4,329,850.8,261,686,1
273.6,316,80.4,261,850,0
254.4,316,450,254,412,0
253.8,316,550,254,537,0
253.8,316,698.8,254,723,1
274.2,316,850.8,381,139,1
380.4,446,416.4,381,723,0
384,446,450,384,-8,0
383.4,446,550,384,117,0
383.4,446,850.8,384,492,1
383.4,484,134,384,723,0
434.4,484,450,434,345,0
433.8,484,550,434,470,0
